wage,educ,exper,gender,married
3.1,11.0,2.0,F,False
3.24,12.0,22.0,F,True
3.0,11.0,2.0,M,False
6.0,8.0,44.0,M,True
5.3,12.0,7.0,M,True
8.75,16.0,9.0,M,True
11.25,18.0,15.0,M,False
5.0,12.0,5.0,F,False
3.6,12.0,26.0,F,False
18.18,17.0,22.0,M,True
6.25,16.0,8.0,F,False
8.13,13.0,3.0,F,False
8.77,12.0,15.0,M,True
5.5,12.0,18.0,M,False
22.2,12.0,31.0,M,True
17.33,16.0,14.0,M,True
7.5,12.0,10.0,F,True
10.63,13.0,16.0,F,False
3.6,12.0,13.0,F,True
4.5,12.0,36.0,F,True
6.88,12.0,11.0,F,False
8.48,12.0,29.0,M,True
6.33,16.0,9.0,F,False
0.53,12.0,3.0,F,False
6.0,11.0,37.0,F,False
9.56,16.0,3.0,M,True
7.78,16.0,11.0,M,True
12.5,16.0,31.0,M,True
12.5,15.0,30.0,M,True
3.25,8.0,9.0,F,True
13.0,14.0,23.0,M,True
4.5,14.0,2.0,F,False
9.68,13.0,16.0,F,False
5.0,12.0,7.0,F,False
4.68,12.0,3.0,F,False
4.27,16.0,22.0,F,True
6.15,12.0,15.0,F,True
3.51,4.0,39.0,M,True
3.0,14.0,3.0,F,True
6.25,12.0,11.0,F,False
7.81,12.0,3.0,F,True
10.0,12.0,20.0,F,True
4.5,14.0,16.0,F,True
4.0,11.0,45.0,F,True
6.38,13.0,11.0,F,False
13.7,15.0,20.0,M,True
1.67,10.0,1.0,M,False
2.93,12.0,36.0,F,True
3.65,14.0,9.0,M,False
2.9,12.0,15.0,F,True
1.63,12.0,18.0,F,False
8.6,16.0,3.0,F,False
5.0,12.0,15.0,M,True
6.0,12.0,7.0,M,True
2.5,12.0,2.0,M,False
3.25,15.0,3.0,M,False
3.4,16.0,1.0,F,False
10.0,8.0,13.0,M,False
21.63,18.0,8.0,F,False
4.38,16.0,7.0,M,False
11.71,13.0,40.0,F,False
12.39,14.0,42.0,M,False
6.25,10.0,36.0,M,False
3.71,10.0,13.0,F,False
7.78,14.0,9.0,M,False
19.98,14.0,26.0,M,True
6.25,16.0,7.0,F,True
10.0,12.0,25.0,M,True
5.71,16.0,10.0,M,True
2.0,12.0,3.0,F,False
5.71,16.0,3.0,F,False
13.08,17.0,17.0,M,True
4.91,12.0,17.0,M,True
2.91,12.0,20.0,F,True
3.75,12.0,7.0,F,True
11.9,13.0,24.0,M,True
4.0,12.0,28.0,F,True
3.1,12.0,2.0,F,False
8.45,12.0,19.0,M,True
7.14,18.0,13.0,M,True
4.5,9.0,22.0,M,True
4.65,16.0,3.0,M,False
2.9,10.0,4.0,F,False
6.67,12.0,7.0,M,False
3.5,12.0,6.0,F,False
3.26,12.0,13.0,F,True
3.25,12.0,14.0,F,True
8.0,12.0,14.0,F,False
9.85,8.0,40.0,M,True
7.5,12.0,11.0,M,True
5.91,12.0,14.0,M,True
11.76,14.0,40.0,M,True
3.0,12.0,1.0,F,False
4.81,12.0,2.0,F,False
6.5,12.0,4.0,F,False
4.0,9.0,19.0,F,True
3.5,13.0,1.0,M,False
13.16,12.0,34.0,M,True
4.25,14.0,5.0,M,True
3.5,12.0,3.0,M,False
5.13,15.0,6.0,F,False
3.75,12.0,14.0,F,True
4.5,12.0,35.0,F,True
7.63,12.0,8.0,F,False
15.0,14.0,7.0,M,True
6.85,15.0,11.0,F,True
13.33,12.0,14.0,M,True
6.67,12.0,35.0,M,False
2.53,12.0,46.0,F,False
9.8,17.0,7.0,M,True
3.37,11.0,45.0,M,True
24.98,18.0,29.0,M,True
5.4,12.0,6.0,M,True
6.11,14.0,15.0,M,True
4.2,14.0,33.0,F,True
3.75,10.0,15.0,M,False
3.5,14.0,5.0,F,True
3.64,12.0,7.0,M,False
3.8,15.0,6.0,M,True
3.0,8.0,33.0,F,True
5.0,16.0,2.0,F,True
4.63,14.0,4.0,F,True
3.0,15.0,1.0,M,False
3.2,12.0,29.0,F,False
3.91,18.0,17.0,M,True
6.43,16.0,17.0,F,True
5.48,10.0,36.0,F,True
1.5,8.0,31.0,M,False
2.9,10.0,23.0,F,False
5.0,11.0,13.0,M,True
8.92,18.0,3.0,M,True
5.0,15.0,15.0,M,False
3.52,12.0,48.0,M,True
2.9,11.0,6.0,F,False
4.5,12.0,12.0,M,True
2.25,12.0,5.0,F,False
5.0,14.0,19.0,M,True
10.0,16.0,9.0,M,True
3.75,2.0,39.0,M,True
10.0,14.0,28.0,F,True
10.95,16.0,23.0,M,True
7.9,12.0,2.0,M,False
4.72,12.0,15.0,F,False
5.84,13.0,5.0,F,True
3.83,12.0,18.0,F,False
3.2,15.0,2.0,F,False
2.0,10.0,3.0,F,False
4.5,12.0,31.0,F,True
11.55,16.0,20.0,F,True
2.14,13.0,34.0,F,True
2.38,9.0,5.0,M,False
3.75,12.0,11.0,M,False
5.52,13.0,31.0,M,False
6.5,12.0,8.0,F,True
3.1,12.0,2.0,F,False
10.0,14.0,18.0,M,True
6.63,16.0,3.0,M,True
10.0,16.0,3.0,M,True
2.31,9.0,4.0,F,False
6.88,18.0,4.0,M,False
2.83,10.0,1.0,M,False
3.13,10.0,1.0,F,False
8.0,13.0,28.0,M,True
4.5,12.0,47.0,F,True
